Title,Nazwa,Miejsce Realizacji Województwo,Grantobiorca Miejscowość,Grantobiorca Ulica,Grantobiorca Nr budynku,Grantobiorca Kod pocztowy,Wartość wsparcia
"Realizacja inwestycji mającej na celu rozszerzenie zakresu usług, wdrożenie nowych technologii w zakresie obsługi klienta, redukcję kosztów oraz zwiększenie konkurencyjności i odporności firmy działającej na rynku usług w sektorze HORECA w pałacu Rajkowo, Region 1 Pomorze",A.M.Audit Arkadiusz Śnieżek,ZACHODNIOPOMORSKIE,Smolęcin,,18,72-001,535563.0
"Zwiększenie odporności firmy Usługi Gastronomiczne Monika Golczyk poprzez rozszerzenie działalności gastronomicznej o usługi cateringowe w ramach regionu nr 1 kujawsko-pomorskie, pomorskie i zachodniopomorskie",Usługi Gastronomiczne Monika Golczyk,ZACHODNIOPOMORSKIE,Pyrzyce,1 Maja,Bez numeru,74-200,221939.72
Zwiększenie odporności na sytuacje kryzysowe poprzez wprowadzenie nowych usług w przedsiębiorstwie LUCYNA PEPLIŃSKA z regionu 1: pomorskie,LUCYNA PEPLIŃSKA,POMORSKIE,Gdańsk,św. Ducha,40-42,80-834,279214.2
"wzmocnienie i uodpornienie na sytuacje kryzysowe Firmy RESTAURACJA ""ZIELONA PAPUGA"" ANNA JAREMA-ŻYŻUN dzięki dywersyfikacji działalności o wynajem domu nad jeziorem Mausz - Region 1","RESTAURACJA ""ZIELONA PAPUGA"" ANNA JAREMA-ŻYŻUN",POMORSKIE,Gdańsk,Jana Uphagena,25,80-237,517126.5
Wypożyczalnia rowerów i akcesoriów rowerowych,Sigma Catering Blanka Olszewska,KUJAWSKO-POMORSKIE,Brzoza,Konwaliowa,3,86-061,539725.5
Wprowadzenie dywersyfikacji we firmie GOŚCINIEC NAD GOPŁEM PIOTR CHOJNACKI w województwie Kujawsko-Pomorskim,GOŚCINIEC NAD GOPŁEM PIOTR CHOJNACKI,KUJAWSKO-POMORSKIE,Kruszwica,Radziejowska,64,88-153,447296.4
Nowe pakiety dietetyczne oraz Kawiarnia z Widokiem na Morze dla nowych grup klientów jako dywersyfikacja działalności Hotelu Wodnik w Ustroniu Morskim,"Przedsiębiorstwo Usług Turystyczno-Rehabilitacyjnych ""WODNIK"" H I M Rudniccy Spółka jawna",ZACHODNIOPOMORSKIE,Ustronie Morskie,Tadeusza Kościuszki,5,78-111,303305.17
"Rozszerzenie gamy usług świadczonych przez obiekt RESTAURACJA ""KARCZMA POD KLUKĄ"" I ""HOTEL POD KLUKĄ"" o usługę kompleksowej organizacji i obsługi kameralnych spotkań biznesowych. Projekt realizowany na terenie województwa pomorskiego","ZAKŁAD PRODUKCYJNO-USŁUGOWO-HANDLOWY RESTAURACJA ""KARCZMA POD KLUKĄ"" I ""HOTEL POD KLUKĄ""",POMORSKIE,Słupsk,Kaszubska,22,76-200,274592.14
Dywersyfikacja działalności Hotelu Cesarskie Ogrody w Świnoujściu poprzez wprowadzenie usług gastronomicznych w altanach ogrodowych oraz organizację zewnętrznej siłowni funkcjonującej w oparciu o autorski program ćwiczeń.,"""HOTEL CESARSKI SPA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",ZACHODNIOPOMORSKIE,Świnoujście,Stanisława Wyspiańskiego,34A,72-600,414000.0
Rozszerzenie profilu dotychczasowej działalności Pałacu Siemczyno Adam Andziak prowadzonej w sektorze hotelarstwa i gastronomii w Zachodniopomorskim,Pałac Siemczyno Adam Andziak,ZACHODNIOPOMORSKIE,Siemczyno,,81,78-551,253491.43
"Wdrożenie nowej usługi organizacji i obsługi kongresów w formule online oraz hybrydowej przez firmę Techkongres Michalski, Wiśniewski, Iciak Spółka Jawna z województwa kujawskopomorskiego","TECHKONGRES MICHALSKI, WIŚNIEWSKI, ICIAK SPÓŁKA JAWNA",KUJAWSKO-POMORSKIE,Bydgoszcz,Bydgoskich Przemysłowców,13,85-862,539829.0
"Rozszerzenie działalności gospodarczej Cafe AMBROZJA Paulina Pajewska o restaurację z potrawami regionalnymi w miejscowości Darłowo, w województwie zachodniopomorskim.",Cafe AMBROZJA Paulina Pajewska,ZACHODNIOPOMORSKIE,Darłowo,Kąpielowa,8,76-150,253688.43
Dywersyfikacja działalności przedsiębiorstwa Pałac Widokowy Michał Marchlewski poprzez wprowadzenie usługi wypożyczania/dzierżawy łodzi typu Houseboat,PAŁAC WIDOKOWY Michał Marchlewski,KUJAWSKO-POMORSKIE,Toruń,Majdany,1,87-100,389243.8
"Dywersyfikacja, rozszerzenie i zwiększenie odporności przedsiębiorstwa na sytuacje kryzysowe poprzez wprowadzenie nowych usług i zielonej transformacji – FIRMA HANDLOWO-USŁUGOWA GRZEGORZ GURYN ALEKSANDER JARCZYK s.c.- Region Zachodniopomorski",FIRMA HANDLOWO-USŁUGOWA GRZEGORZ GURYN ALEKSANDER JARCZYK s.c.,ZACHODNIOPOMORSKIE,Szczecin,Kaszubska,3,70-404,477723.97
Zwiększenie odporności przedsiębiorstwa ESENTRA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ na sytuacje kryzysowe w wyniku dywersyfikacji prowadzonej działalności (REGION 1: województwo pomorskie,ESENTRA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,POMORSKIE,Sopot,Aleja Niepodległości,799 A,81-810,502899.95
Dywersyfikacja działalności poprzez Innowacyjną Siłownię Kontenerową - Bezpieczne Treningi w Czasach Zagrożenia Epidemiologicznego (Pomorskie),PG PAWEŁ GZULA,POMORSKIE,Gdynia,Korzenna,14a,81-587,316183.73
"„Dywersyfikacja i rozszerzenie działalności przedsiębiorstwa MIĘDZYNARODOWE CENTRUM DZIECI I MŁODZIEŻY ""RADODZIERZ"" Marcin Kozłowski poprzez wdrożenie nowych usług na terenie województwa kujawsko-pomorskiego","MIĘDZYNARODOWE CENTRUM DZIECI I MŁODZIEŻY ""RADODZIERZ"" Marcin Kozłowski",KUJAWSKO-POMORSKIE,Osiny,,21,86-170,273060.0
"Stworzenie cukierni z lodziarnią, uruchomienie wypożyczalni rowerów oraz autonomiczny system meldunkowy jako dywersyfikacja działalności ośrodka wypoczynkowo - rehabilitacyjnego Jantar w Niechorzu.",Henryk Gmyrek,ZACHODNIOPOMORSKIE,Niechorze,Aleja Bursztynowa,31,72-350,333711.0
Dywersyfikację działalności w firmie Jarosław Przygoda Wojciech Nagaj s.c. w celu zwiększenie odporności branży gastronomicznej w województwie zachodniopomorskim na negatywne skutki zewnętrzne,"Jarosław Przygoda, Wojciech Nagaj Spółka cywilna",ZACHODNIOPOMORSKIE,Krajnik Dolny,,41a,74-506,539749.96
Dywersyfikacja usług JADŁODAJNIA FAMILIJNA 'KWIATEK' w odpowiedzi na zmiany rynkowe i potrzeby społeczności lokalnej. Region 1 województwo zachodniopomorskie,"JADŁODAJNIA FAMILIJNA ""KWIATEK"" MIROSŁAWA KWIATKOWSKA",ZACHODNIOPOMORSKIE,Kołobrzeg,Jodłowa,9,78-100,240708.6
Zwiększenie odporności na sytuacje kryzysowe poprzez wprowadzenie nowych usług przez Bartłomiej Sadowski Family&Business Catering z regionu 1: pomorskie,Bartłomiej Sadowski Family&Business Catering,POMORSKIE,Gdańsk,Jaśkowa Dolina,29,80-286,176841.0
Zwiększenie odporności na sytuacje kryzysowe poprzez wprowadzenie nowej usługi przez PRZEMYSŁAW CIERNIOCH MANAGEMENT z regionu 1: pomorskie,PRZEMYSŁAW CIERNIOCH MANAGEMENT,POMORSKIE,Sopot,Tadeusza Kościuszki,33c,81-704,526014.0
Rozwój i dywersyfikacja oferty RIWIERA CATERING,"PRZEDSIĘBIORSTWO TRANSPORTOWO-HANDLOWO-USŁUGOWE ""RIWIERA CATERING"" GRZEGORZ RATAJ, KATARZYNA WYSZYŃSKA",POMORSKIE,Słupsk,Karola Szymanowskiego,8,76-200,477871.95
„Rozbudowa oferty dla gości hotelu Villa Andalucia obejmująca zakup środków trwałych i szkolenia. Projekt realizowany w regionie województwa Kujawsko-Pomorskiego.,VILLA ANDALUCIA JERZY SIKORSKI,KUJAWSKO-POMORSKIE,Ciechocinek,Zdrojowa,18,87-720,100385.04
"Rozwój przedsiębiorstwa, dzięki adaptacji pomieszczeń oraz zakup środków trwałych",AH Joanna Herbasz,POMORSKIE,Przywidz,Gdańska,19b,83-047,540000.0
"„Rozszerzenie dotychczasowej działalności o nową atrakcję innowacyjnej interdyscyplinarnej ścieżki edukacyjnej w formie parku linowego zintegrowanego z nadziemnym, zadaszonym stanowiskiem obserwacji ornitologicznej wraz ze zjazdami tyrolskimi w ramach oferty turystycznej przedsiębiorstwa DAMIAN RYBACKI FARMA KALINA w Regionie 1 – województwa kujawsko-pomorskie, pomorskie, zachodniopomorskie",Damian Rybacki Farma Kalina,ZACHODNIOPOMORSKIE,Łasko,,29E,73-240,465046.93
"Aktywny wypoczynek w Avangard Resort” Stworzenie Centrum rowerowego jako nowej EKO usługi na terenie Avangard Resort w Świnoujściu, przy ul. Uzdrowiskowej 5, Region Zachodniopomorski",AVANGARD SYSTEM ELŻBIETA PAZIEWSKA,ZACHODNIOPOMORSKIE,Świnoujście,Uzdrowiskowa,5,72-600,534974.84
Inwestycja w środki trwałe i rozwiązania ekologiczne mające na celu dywersyfikację oferty i zmniejszenie kosztów operacyjnych przedsiębiorstwa ZAMKOWA USŁUGI HOTELARSKOGASTRONOMICZNE MAŁGORZATA ROGALA działającego w regionie województwa Kujawsko-Pomorskiego.”,ZAMKOWA USŁUGI HOTELARSKOGASTRONOMICZNE MAŁGORZATA ROGALA,KUJAWSKO-POMORSKIE,Wąbrzeźno,Chełmińska,26,87-200,344066.1
Zakup przyczep kampingowych na potrzeby dywersyfikacji firmy FIDES TOUR działającej na terenie województwa pomorskiego,Fides Tour Sylwia Kucner-Wesserling,POMORSKIE,Szymbark,Leśna,7,83-315,437940.0
Wzmocnienie oferty regionu pomorskiego przez OŚRODEK KOLONIJNO - WYPOCZYNKOWY EDUKACJI EKOLOGICZNEJ w Krynicy Morskiej dzięki budowie infrastruktury rekreacyjno-sportowej - basenu i boiska wielofunkcyjnego.,"Adrian Bogusłowicz Agencja ""ALFA""",POMORSKIE,Elbląg,Henryka Nitschmanna,26-26-28,82-300,539000.0
Zwiększenie odporności na przyszłe sytuacje kryzysowe oraz potencjału rozwojowego firmy LSV Technika Tomasz Iciak działającej w regionie kujawsko-pomorskim poprzez wdrożenie nowej usługi.,LSV Technika Tomasz Iciak,KUJAWSKO-POMORSKIE,Bydgoszcz,Bydgoskich Przemysłowców,13,85-862,539951.58
"Rozbudowa bazy usługowej poprzez utworzenia miejsca aktywności rekreacyjnej i budowę basenu zewnętrznego, w Villi Leśne Ustronie, położonej w Lubiszewie Tczewskim (region woj. pomorskiego","Łukasz Wojnowski ""VILLA LEŚNE USTRONIE""",POMORSKIE,Lubiszewo Tczewskie,Sosnowa,32,83-112,504950.4
Ekologiczny i przyjazny ośrodek Smołdziński Las region Pomorze,"Biuro Turystyczne ""DAJA""",POMORSKIE,Łeba,Hieronima Derdowskiego,21,84-360,538525.05
Rozszerzenie działalności gospodarczej firmy ART CAFE cafe & restaurant o usługi z zakresu kateringu dla odbiorców zewnętrznych instytucjonalnych i indywidualnych w powiecie nakielskim w województwie kujawsko-pomorskim,Ewa Doiczman ART CAFE Cafe&Restaurant,KUJAWSKO-POMORSKIE,Nakło nad Notecią,Konstytucji 3 Maja,1,89-100,540000.0
"Rozszerzenie działalności hotelu Unitral w regonie zachodniopomorskim, poprzez wprowadzenie nowych usług.",HOTEL MEDICAL SPA UNITRAL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,ZACHODNIOPOMORSKIE,Mielno,Piastów,6,76-032,539554.07
„Dywersyfikacja działalności jako zwiększenie konkurencyjności i odporności firmy Karol Jarzębiński wobec możliwości wystąpienia kryzysów w branży HoReCa w województwie pomorskim,Karol Jarzębiński,Pomorskie,Gdańsk,Chlebnicka,43,80-830,436528.49
"Rozszerzenie zakresu świadczonych usług turystycznych o usługi poprawy kondycji fizycznej, poprawa standardu obsługi turystów oraz montaż instalacji fotowoltaicznej w Willi ATENA w Łebie woj. pomorskie",Anita Puławska ATENA,Pomorskie,Łeba,Generała Bema,9,84-360,369373.76
Dywersyfikacja działalności Smart Stay Hostel o nową usługę wypożyczalni sprzętu rekreacyjnego w Gdyni oraz województwie pomorskim (Region 1 - województwo pomorskie),City Project sp. z o.o.,POMORSKIE,Gdynia,Poleska,25,81-321,538110.0
"Wzmocnienie odporności firmy TERESA KOTARSKA PRZEDSIĘBIORSTWO TURYSTYCZNE ""POMORZE"" poprzez rozszerzenie działalności i unowocześnienie bazy usługowej w regionie 1: kujawskopomorskie, pomorskie i zachodniopomorskie.","TERESA KOTARSKA PRZEDSIĘBIORSTWO TURYSTYCZNE ""POMORZE",KUJAWSKO-POMORSKIE,Charzykowy,Turystyczna,53,89-606,154385.74
"Przebudowa i dywersyfikacja oferty gastronomicznej Restauracji ""Panorama"" z Torunia z województwa kujawsko-pomorskiego celem zwiększenia jej odporności na kryzysy",Firma Handlowo-Gastronomiczna Lewandowska Katarzyna,KUJAWSKO-POMORSKIE,Toruń,Kwiatowa,14,87-100,509940.01
Dywersyfikacja działalności Hotelu MORIS działającego w regionie 1 w województwie pomorskim poprzez wprowadzenie nowych usług wynajmu apartamentów i strefy SPA oraz wdrożenie rozwiązań zielonej transformacji sposobem na uodpornienie na przyszłe kryzysy i poszerzenie grona klientów,"HOTEL ""MORIS” STANISŁAW RACZKOWSKI",POMORSKIE,Gdańsk,Bursztynowa,10,80-342,539820.0
"Dywersyfikacja i rozszerzenie działalności ANTONI BATURA: PENSIONE ANTONIO SPÓŁKA CYWILNA ANTONI BATURA, GENOWEFA BATURA,MARCIN BATURA Region Pomorze","PENSIONE ANTONIO SPÓŁKA CYWILNA ANTONI BATURA, GENOWEFA BATURA, MARCIN BATURA",POMORSKIE,Słupsk,Wileńska,7-8,76-200,530871.8
Rozszerzenie działalności Ośrodka Wypoczynkowego Słowiniec w regionie 1 pomorskim,"Ośrodek Wypoczynkowy ""Słowiniec"" Krystyna Puszcz",Pomorskie,Łeba,Nadmorska,19,84-360,503889.31
"Zwiększenie odporności Firmy Handlowo Usługowej Michał Rydzewski poprzez dywersyfikację prowadzonej działalności o usługi noclegowe w ramach regionu nr 1 kujawsko-pomorskie, pomorskie i zachodniopomorskie”",FHU Michał Rydzewski,ZACHODNIOPOMORSKIE,Szczecin,Szeroka,60 F,71-211,411735.91
"Rozszerzenie działalności o usługę profesjonalnego i kompleksowego przygotowania spotkań plenerowych - Region 1, województwo zachodniopomorskie",Marta Wojciechowska - naTacy,ZACHODNIOPOMORSKIE,Szczecin,Podmokła,14,71-776,499420.51
Dywersyfikacja i rozszerzenie działalności RESTAURACJA RITZ Barbara Ritz Region Pomorze,RESTAURACJA RITZ Barbara Ritz,POMORSKIE,Gdańsk,Szafarnia,6,80-755,291170.81
Rozszerzenie oferty Domu Wczasowego Marynarski Roman Maza poprzez integrację usług edukacyjnych i rekreacyjnych oraz dostosowanie infrastruktury pod potrzeby osób z autyzmem.,Dom Wczasowy Marynarski Roman Maza,ZACHODNIOPOMORSKIE,Darłowo,Marynarska,44,76-150,402030.0
Łagodzenie skutków pandemii Covid 19 poprzez wprowadzenie nowej usługi w przedsiębiorstwie z Regionu 1 województwo zachodniopomorskie,ENJOY PRZYJEMNOŚĆ ZABAWY ALEKSANDRA JANKOWSKA,ZACHODNIOPOMORSKIE,Nowe Bielice,Astrów,3,76-039,167095.92
Zwiększenie odporności przedsiębiorstwa DIAKOSZ MARCIN DIAK SPÓŁKA JAWNA na sytuacje kryzysowe w wyniku rozszerzenia oraz dywersyfikacji prowadzonej działalności (REGION 1: województwo pomorskie),GVARA DIAK FRIDRYCH Spółka Jawna,POMORSKIE,Gdańsk,Chlebnicka,48,80-830,337831.96
Dywersyfikacja działalności agentów turystycznych poprzez wdrożenie usług cyfryzacji przestrzeni z wykorzystaniem technologii wirtualnej rzeczywistości,TASHI TRAVEL ADAM BIERZYŃSKI,Pomorskie,Gdańsk,,41c,80-391,176542.2
Dywersyfikacja działalności Gościńca Zacisze w Chmielnie w województwie pomorskim poprzez wprowadzenie nowych usług oraz zwiększenie kompetencji pracowników,"Magdalena Drewa Gościniec ZACISZE, Biuro Księgowo-Prawne Wnioski Unijne, Serwis HVAC",POMORSKIE,Chmielno,Garncarska,36,83-333,449940.01
"Dywersyfikacja działalności VIVA Sylwia Topolewska prowadzonej w regionie 1 w województwie pomorskim poprzez wprowadzenie nowych usług, wdrożenie zielonej i cyfrowej transformacji oraz przeszkolenie pracowników sposobem na uodpornienie na przyszłe kryzysy i poszerzenie grona klientów",VIVA SYLWIA TOPOLEWSKA,POMORSKIE,Rumia,Mickiewicza,19A,84-230,539846.1
Nowe możliwości rekreacyjne w Centrum Wypoczynkowo Szkoleniowym w Ostrzycach w woj. pomorskim,"Alfred Czapiewski Centrum Wypoczynkowo-Szkoleniowe Ostrzyce ,,Zajazd Ostrzycki""",POMORSKIE,Ostrzyce,Droga Kaszubska,56,83-311,539590.96
"Zwiększenie odporności przedsiębiorstwa Mariusz Zawadzki ""PERSONA"" na sytuacje kryzysowe w wyniku dywersyfikacji prowadzonej działalności (REGION 1: województwo pomorskie)","Mariusz Zawadzki ""PERSONA""",Pomorskie,Sopot,Parkowa,19,81-726,457079.24
"Sky Gelato - Niebieńskie lody Gelato – Linia produkcyjna innowacyjnych, wysokojakościowych lodów naturalnych z lokalnych składników dywersyfikująca działalność przedsiębiorstwa w obszarze b2b i b2c. Region 1 - województwa kujawsko-pomorskie, pomorskie, zachodniopomorskie.",Agencja SKY Rafał Chromiński,POMORSKIE,Gdańsk,Wołkowyska,9,80-283,351402.27
Dywersyfikacja i rozszerzenie działalności RESTAURACJA 'TEQUILA' ARKADIUSZ ŚMIAROWSKI region POMORZE,RESTAURACJA 'TEQUILA' ARKADIUSZ ŚMIAROWSKI,POMORSKIE,Rumia,Henryka Dąbrowskiego,107,84-230,533681.65
"""Elektryczna Mobilność: Rowerowe Podróże Pomorskim Szlakiem"" - uruchomienie usługi wypożyczalni rowerów elektrycznych na terenie województwa pomorskiego",AKSUB Adrian Klein,POMORSKIE,Gdańsk,Obrońców Wybrzeża,1,80-398,271098.29
"Kawa & Lody na Kółkach"" - wprowadzenie usługi obwoźnej sprzedaży lodów i kawy na terenie województwa pomorskiego.",Pałac Kłanino Dagmara Kołtonowska,POMORSKIE,Kłanino,Pałacowa,7,84-107,533880.0
"""Bankietowa Harmonia: Tworzenie Niezapomnianych Imprez z Cateringiemna Wysokim Poziomie""- dywersyfikacja prowadzonej działalności poprzezwprowadzenie usługi mobilnej organizacji imprez wraz z obsługą cateringową na terenie województwa pomorskiego",D.W. SAWANA Dariusz Kucharski,Pomorskie,Jastrzębia Góra,Uzdrowiskowa,5,84-104,420025.66
Dywersyfikacja działalności spółki theBottle z województwa pomorskiego.,THEBOTTLE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,POMORSKIE,Sopot,Tadeusza Kościuszki,16,81-704,539550.0
Dywersyfikacja działalności prowadzonej przez RM Szpak Radosław Spaczyński,RM Szpak Radosław Spaczyński,POMORSKIE,Baldram,,40,82-500,278500.5
"Wprowadzenie nowej usługi, związanej z wykonywaniem zabiegów oraz ćwiczeń przyczyniających się do redukcji masy ciała i poprawy sprawności fizycznej, w celu dywersyfikacji oraz zwiększenia odporności na sytuacje kryzysowe działalności prowadzonej przez Jolantę Kąkol.",Jolanta Kąkol,POMORSKIE,Pomlewo,Leśników,3,83-047,128384.1
Wprowadzenie nowej usługi z sektora turystycznego w celu dywersyfikacji działalności firmy oraz zwiększenia odporności na sytuacje kryzysowe - województwo kujawsko-pomorskie,CENTRUM PROMOCJI EKSPORTU PROEXPO ZASADA I WSPÓLNICY SPÓŁKA JAWNA,Kujawsko-pomorskie,Bydgoszcz,Leśna,5,85-676,540000.0
"Inwestycja polegająca na stworzeniu baru do serwowania dań i napojów, umożliwiającego rozszerzenie działalności o nową usługę gastronomiczną, w celu zwiększenia odporności na kryzysy firmy Hotel Oliwski sp. z o.o.",HOTEL OLIWSKI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Pomorskie,Gdańsk,Piastowska,1,80-332,213290.1
"Cyfrowa i Zielona Transformacja ELJAZZ KINGA ELIASZ"" - rozszerzenie i dywersyfikację działalności artystycznej poprzez wprowadzenie nowoczesnych technologii sprzedaży oraz inwestycje w zieloną energię i efektywność energetyczną (Region 1 - województwa kujawsko-pomorskie, pomorskie, zachodniopomorskie)","""ELJAZZ"" KINGA ELIASZ",KUJAWSKO-POMORSKIE,Bydgoszcz,Kręta,3,85-117,188415.18
„Rozpoczęcie świadczenia nowej usługi najmu krótkoterminowego w regionie 1- w województwie zachodniopomorskim szansą na rozwój i wzmocnienie odporności firmy Tomasz Wojewoda Dobre Miejsca poprzez dywersyfikację działalności w branży HoReCa,Dobre Miejsca Tomasz Wojewoda,Zachodniopomorskie,Wrocław,Obornicka,99,51-114,539811.0
Rozszerzenie działalności gastronomicznej firmy KADR w Toruniu (woj. kujawsko-pomorskie) poprzez wdrożenie nowych usług cateringowych i kawiarnianych,Strzyżewski Przemysław Firma Gastronomiczna KADR,KUJAWSKO-POMORSKIE,Toruń,Żeglarska,5,87-100,199539.03
Dywersyfikacja działalności kortów tenisowych o ekologiczną wypożyczalnie rowerów w regionie pomorskim.,Korty Tenisowe Wielki Kack Krystian Matuszewski,POMORSKIE,Gdynia,Deszczowa,29,81-577,115155.0
Wprowadzenie nowych usług w obiekcie Wisełka Park w województwie zachodniopomorskim w ramach dywersyfikacji obecnej działalności firmy West Pomeranian Tomasz Krysiak oraz podniesienie kompetencji pracowników i udoskonalenie obecnego modelu biznesowego firmy celem zwiększenia liczby klientów i odporności firmy na ewentualne przyszłe kryzysy,West Pomeranian Tomasz Krysiak,ZACHODNIOPOMORSKIE,Szczecin,Szybowcowa,40,70-843,465013.95
WYNAJEM NOWOCZESNYCH JACHTÓW oraz AUTOMATYZACJA SYSTEMU REZERWACJI USŁUG BELATRIX NAD BAŁTYKIEM - rozszerzenie i dywersyfikacja działalności w zakresie usług turystycznych w woj. zachodniopomorskim,P & N CONSULTING & INVESTMENTS GROUP - TOMASZ NIEDZIELSKI,Zachodniopomorskie,Poznań,Jana Henryka Dąbrowskiego,77a,60-529,539316.0
Dywersyfikacja oraz rozszerzenie działalności restauracji Amore Mio w województwie zachodniopomorskim,BALTICA KATARZYNA WÓJCIK,Zachodniopomorskie,Szczecin,Majora Władysława Raginisa,19,71-625,264780.22
Inwestycja na terenie województwa zachodniopomorskiego w zwiększenie odporności przedsiębiorstwa oraz dywersyfikację usług w Firmie Usługowo-Handlowej Combo Marcin Lajdamik poprzez uruchomienie usługi cateringowej na wydarzenia plenerowe,FIRMA USŁUGOWO-HANDLOWA COMBO MARCIN LAJDAMIK,Zachodniopomorskie,Szczecin,Duńska,10,71-795,400662.33
"Rozszerzenie i dywersyfikacja działalności gospodarczej Przedsiębiorstwa Ciechocinek Development Group spółka z ograniczoną odpowiedzialnością poprzez unowocześnienie bazy usługowej na terenie województwa kujawsko – pomorskiego , zakup urządzeń pralniczych, zakup i montaż instalacji fotowoltaicznej, wdrożenie systemu informatycznego, zakup łóżek masujących oraz rozpoczęcie świadczenia nowej usług",CIECHOCINEK DEVELOPMENT GROUP SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Kujawsko-pomorskie,Ciechocinek,Słońsk Górny,29,87-720,357748.67
Projekt GIM GROUP SPÓŁKA SP. Z O.O. na wdrożenie nowych usług w sektorze HoReCa w województwie pomorskim,GIM GROUP SP. Z O.O.,POMORSKIE,Ostrowo,Obozowa,76-78,84-105,516681.8
"Zakup wyposażenia służącego rozwoju wypożyczalni sprzętów wodnych oraz wprowadzeniu do oferty firmy usług cateringowych, a także powiązanych usług informatycznych, szkoleniowych i doradczych pozwalających na rozszerzenie i dywersyfikację profilu działalności firmy ekajaki.pl z siedzibą w Łupawsku (województwo pomorskie), wraz ze zwiększeniem odporności firmy na przyszłe kryzysy oraz zmniejszeniem",EKAJAKI.PL ANDRZEJ TENDERENDA,POMORSKIE,Łupawsko,,12a,77-116,381947.3
"Rozszerzenie mobilnej bazy noclegowej poprzez dywersyfikację prowadzonej działalności pola namiotowego na terenie województwa zachodniopomorskiego, powiatu gryfickiego, gminy Rewal.",Agata Karcewicz,Zachodniopomorskie,Pabianice,Dobra,17,95-200,537750.0
"Uruchomienie nowej usługi saunowania i wynajmu sauny mobilnej oraz rozszerzenie działalności noclegowej w oparciu o drewniane domki rekreacji zbudowane z wykorzystaniem technologii ekologicznych, uwzględniające potrzeby osób z niepełnosprawnościami jako sposób dywersyfikacji i rozszerzenia działalności turystycznej firmy „LANDBRAND” Hubert Gonera (województwo pomorskie) wraz ze zwiększeniem odpor",Hubert Gonera „LANDBRAND”,POMORSKIE,Poznań,Czekoladowa,4,61-680,442921.4
Zwiększenie odporności przedsiębiorstwa Pomelo Bistro Krzysztof Szymański na sytuacje kryzysowe w wyniku rozszerzenia prowadzonej działalności (REGION 1: województwo pomorskie),Pomelo Bistro Krzysztof Szymański,POMORSKIE,Gdańsk,Ogarna,121,80-826,449508.82
Dywersyfikacja działalności Hotelu Residence w Rewalu w woj. zachodniopomorskim poprzez wprowadzenie do oferty nowych usług gastronomicznych,ŻANETA KAMIŃSKA,ZACHODNIOPOMORSKIE,Szczecin,Leśna Polana,16,70-782,539999.99
Uruchomienie nowej usługi wynajmu katamaranu przez Hotel Barlinek Sp. z o.o. w woj. zachodniopomorskim.,"""HOTEL BARLINEK"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",ZACHODNIOPOMORSKIE,Barlinek,Jeziorna,14,74-320,540000.0
Rozpoczęcie świadczenia nowych usług dzięki rozszerzeniu profilu działalności Obiektu Sportowo - Rekreacyjnego o usługi dla poprawy kondycji fizycznej w Regionie 1 tj. województwie kujawsko-pomorskim.,Obiekt Sportowo-Rekreacyjny Paulina Wiśniewska,KUJAWSKO-POMORSKIE,Brzozie,,157,87-313,539515.8
"Wprowadzenie nowej usługi związanej z poprawą kondycji fizycznej oraz usługi wypożyczania elektrycznych: rowerów, hulajnog i desek surfingowych e-foil w województwie pomorskim",RAFAŁ WENSIERSKI,POMORSKIE,Jantar,Rybacka,48,82-103,523322.88
Rozszerzenie działalności Dworek Bielin Sp. z o.o. poprzez wdrożenie nowej usługi wynajmu apartamentu z udogodnieniami dla gości na obszarze województwa zachodniopomorskiego,DWOREK BIELIN SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ZACHODNIOPOMORSKIE,Moryń,,1,74-503,535865.94
"Budowa obiektu noclegowego, jako przedsięwzięcie realizowane w województwie kujawsko-pomorskim, którego celem jest rozszerzenie usług wspierających prowadzenie działalności gospodarczej i dywersyfikacja oferty zakładu o usługi krótkoterminowego zakwaterowania w sposób zwiększający odporność przedsiębiorstwa w okresie kryzysów, w tym pandemii.",Wojciech Borowski,KUJAWSKO-POMORSKIE,Grudziądz,Armii Krajowej,15,86-300,479400.01
"Dywersyfikacja działalności spółki BROFIT poprzez działania inwestycyjne, szkoleniowe i doradcze realizowane w województwie kujawsko-pomorskim",BROFIT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,KUJAWSKO-POMORSKIE,Brodnica,Wąska,5b,87-300,539963.61
